Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Max_C_Depth_m,Min_length_Tag_cm,Max_length_Tag_cm,Min_Days_Tracked,Max_Days_Tracked,Min_Hours_Recorded,Max_Hours_Recorded,Notes,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Hounslow_2025,Reptilia,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Habitat and space use,Single,2,Saltwater,Not Reported,NA,72.5,98.9,Not Reported,NA,Not Reported,NA,,NA,Medium (28.5-120cm),NA,NA
Hounslow_2025,Reptilia,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,Not Reported,NA,72.5,98.9,Not Reported,NA,Not Reported,NA,,NA,Medium (28.5-120cm),NA,NA
Hounslow_2025,Reptilia,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Other Drivers of Movement and Behavior,Environmental factors,Single,2,Saltwater,Not Reported,NA,72.5,98.9,Not Reported,NA,Not Reported,NA,,NA,Medium (28.5-120cm),NA,NA
Iaia_2025,Teleostei,2,PIT + Stationary,PIT_Stationary,Receiver_Stationary,PIT,Stationary,Resource-Use Management,Manmade structures,Single,2,Freshwater,Not Reported,NA,8.3,54.6,0.5,568,Not Reported,8352,"Complementation - Two different monitoring systems were used (PIT tag telemetry and videorecording) to maximize the data collection with the ultimate goal of improving the knowledge on the functionality of these structures for conservation purposes. video made it more population relevant, which represented the downstream migration of fish, but it did not accurately measure attraction effiency  to the gate since it cannot see individual fish. the devices showed comparable results, but one showed effectiveness, monitoring, while the other showed effiency, tagging",NA,Small (<28.5cm),Long Term (>170d),NA
Iwata_2021,Cetacea,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Attributing behaviours to movement,Single,2,Saltwater,5,19,NA,Not Reported,Not Reported,0.45,1,11,,2m to 61m,NA,Short Term (<3d),Medium Term (2-20hr)
Iwata_2021,Cetacea,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,5,19,NA,Not Reported,Not Reported,0.45,1,11,,2m to 61m,NA,Short Term (<3d),Medium Term (2-20hr)
Iwata_2024,Cetacea,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Conservation Measures,Human_wildlife interactions,Single,2,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,NA,Not Reported,NA,,NA,NA,NA,NA
Iwata_2024,Cetacea,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,Not Reported,NA,NA,Not Reported,Not Reported,NA,Not Reported,NA,,NA,NA,NA,NA
Jeantet_2020,Reptilia,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Attributing behaviours to movement,Single,2,Saltwater,0,3,44,101.3,Not Reported,NA,Not Reported,14.6,,2m to 61m,Medium (28.5-120cm),NA,Medium Term (2-20hr)
Jeantet_2020,Reptilia,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Integrated approach,Single,2,Saltwater,0,3,44,101.3,Not Reported,NA,Not Reported,14.6,,2m to 61m,Medium (28.5-120cm),NA,Medium Term (2-20hr)
Jeantet_2020,Reptilia,2,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,0,3,44,101.3,Not Reported,NA,Not Reported,14.6,,2m to 61m,Medium (28.5-120cm),NA,Medium Term (2-20hr)
Jensen_2024,Teleostei,10,PIT + Stationary,PIT_Stationary,Receiver_Stationary,PIT,Stationary,Resource-Use Management,Manmade structures,Single,2,Freshwater,Not Reported,NA,NA,Not Reported,Not Reported,363,2088,2352,,NA,NA,Long Term (>170d),NA
Jensen_2024,Teleostei,10,PIT + Stationary,PIT_Stationary,Receiver_Stationary,PIT,Stationary,Behavioural Ecology,Community structuring,Single,2,Freshwater,Not Reported,NA,NA,Not Reported,Not Reported,363,2088,2352,,NA,NA,Long Term (>170d),NA
Jensen_2024,Teleostei,10,PIT + Stationary,PIT_Stationary,Receiver_Stationary,PIT,Stationary,Behavioural Ecology,Behavioural states and adaptations,Single,2,Freshwater,Not Reported,NA,NA,Not Reported,Not Reported,363,2088,2352,,NA,NA,Long Term (>170d),NA
Jewell_2019,Chondrichthyes,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Other Drivers of Movement and Behavior,Environmental factors,Single,2,Saltwater,0,8,275,365,Not Reported,NA,Not Reported,8,,2m to 61m,Large (>120cm),NA,Medium Term (2-20hr)
Jewell_2019,Chondrichthyes,1,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Predator_prey interactions,Single,2,Saltwater,0,8,275,365,Not Reported,NA,Not Reported,8,,2m to 61m,Large (>120cm),NA,Medium Term (2-20hr)
